ID_LEKARZA,ID_SPECJALIZACJI,IMIE,NAZWISKO,DATA_PODPISANIA_KONTRAKTU
1,3,Phyllida,Henbury,1998
2,2,Chrissy,McLanachan,2006
3,1,Feliza,Peyto,2002
4,5,Ollie,Cavee,2017
5,2,Myrlene,Charity,2003
6,3,Camey,Brimming,1992
7,5,Helena,Bows,1990
8,4,Franciskus,Roach,2012
9,5,Burk,MacRedmond,1991
10,3,Cullan,Ryott,2012
11,3,Isac,Nestle,2008
12,3,Gilbert,Kinane,1991
13,3,Sophie,Paler,2004
14,5,Darrin,McSkin,1993
15,1,Fina,O'Howbane,2008
16,3,Javier,McLagan,1995
17,1,Lindsy,Monget,2015
18,2,Yehudit,Annakin,2006
19,5,Buffy,Purdey,2010
20,3,Giffer,Copelli,1992
21,2,Farah,Disdel,2008
22,1,Mayor,Ellery,2009
23,5,Oliy,Bortolutti,2013
24,3,Nikolia,Shepherdson,1996
25,3,Maryanna,Atty,2014
26,2,Darb,Beaumont,1991
27,1,Vittoria,Pachmann,2000
28,3,Ilsa,Sizland,2010
29,5,Wheeler,Spreag,1996
30,3,Jemima,Schurig,1997
31,3,Moll,de Mendoza,1999
32,2,Gretal,Attride,2018
33,5,Colleen,Gonnely,2012
34,1,Wilona,Bretland,2012
35,3,Veronika,Dilawey,2018
36,4,Meade,Lucus,1995
37,2,Cherry,Lightfoot,2014
38,1,Boot,Mitchenson,1998
39,5,Charlotta,Kimmitt,2016
40,2,Rodger,Defraine,2011
41,5,Vinnie,Bleakman,1998
42,2,Rori,Purselowe,2014
43,3,Nichole,Stanyer,2008
44,1,Keelby,Rudyard,1993
45,1,Putnem,Canfield,2007
46,2,Cyrillus,Galbreath,1993
47,3,Guillaume,Duplock,2000
48,2,Kelsey,Tumioto,2014
49,5,Nicki,MacLese,2008
50,1,Ariana,Witson,2005
51,4,Marlo,Brickwood,1993
52,3,Steward,Brettoner,1991
53,3,Trista,Kolodziejski,2015
54,5,Dominica,Hardan,2011
55,2,Stefa,Orrill,2013
56,4,Aridatha,Toland,1999
57,1,Margie,Hendrik,1999
58,5,Lorrie,Alcott,2002
59,2,Pincus,Flippen,2000
60,5,Carmela,Eilles,2016
61,1,Celestina,L'Episcopi,1991
62,2,Ole,Isley,2002
63,5,Jessey,Malletratt,1994
64,2,Elle,Jerisch,2006
65,5,Adelina,Lagde,2001
66,2,Electra,Simister,2003
67,4,Peta,Patershall,2016
68,4,Glory,Sweetman,2001
69,4,Stacie,Kiggel,2012
70,1,Janine,Skahill,1991
71,4,Enoch,Bloomer,2011
72,5,Gino,Beebis,2008
73,3,Gavrielle,Tynnan,1990
74,2,Liz,Merck,2004
75,5,Gael,Twitty,1993
76,5,Netta,Dilley,1993
77,1,Kendra,McGonagle,1993
78,1,Mace,Baswall,1997
79,2,Becka,Roman,1995
80,1,Jamill,Greenaway,2007
81,1,Elli,Gallegos,1993
82,4,Lenore,Wykey,2003
83,3,Rochelle,Smither,2009
84,1,Marci,Constantinou,2005
85,2,Lacee,Bambridge,2018
86,3,Ringo,Lindborg,2015
87,5,Eric,Dorning,2018
88,5,Harman,Maine,1990
89,5,Ysabel,Moxsom,1994
90,5,Idette,Strickler,1994
91,4,Hoebart,Martinet,2004
92,4,Morlee,Yakunkin,2016
93,2,Laney,Alelsandrowicz,1992
94,1,Ginny,Waters,2001
95,2,Elayne,Keays,1999
96,3,Alberik,Bernucci,1996
97,1,Bridgette,McCurry,2005
98,3,Abbie,Hoyte,2008
99,3,Sanson,Ragat,2006
100,2,Anica,Pallis,2003
101,5,Jaynell,Shimon,2018
102,2,Jenica,Benjefield,1996
103,1,Arthur,Scothron,2015
104,2,Archibald,Chippindall,1991
105,4,Innis,Pimlock,2006
106,3,Salomo,Prestedge,2002
107,3,Antonetta,Samms,1999
108,2,Roxie,Tokley,2012
